Timestamp,ServiceID,Pseudonym,Longitude,Latitude,Width,Length,Speed,Heading
40300,505,1477171087,4280,17960,62,1023,978,3597
40400,295,1585990364,15940,5310,62,1023,980,900
40500,225,1374344043,4010,15370,62,1023,990,3597
40500,435,356426808,-8030,6180,62,1023,996,2700
40600,575,760313750,-13090,6180,62,1023,1210,2700
40700,365,945117276,11270,5310,62,1023,978,900
40900,295,1889947178,16380,5310,62,1023,988,900
41000,225,1374344043,4000,15820,62,1023,994,3597
41000,435,356426808,-8470,6180,62,1023,999,2700
41000,575,760313750,-13520,6180,62,1023,1218,2700
41200,365,945117276,11710,5310,62,1023,979,900
41400,295,1889947178,16830,5310,62,1023,1000,900
41400,575,760313750,-13960,6180,62,1023,1211,2700
41500,225,1780695788,4000,16270,62,1023,982,3597
41500,435,356426808,-8920,6180,62,1023,974,2700
41700,365,945117276,12150,5310,62,1023,996,900
41800,575,760313750,-14400,6180,62,1023,1228,2700
41900,295,1889947178,17270,5310,62,1023,994,900
42000,225,1780695788,4000,16720,62,1023,975,3597
42000,435,356426808,-9360,6180,62,1023,990,2700
42200,365,945117276,12600,5310,62,1023,979,900
42200,575,709393584,-14840,6180,62,1023,1219,2700
42400,295,1889947178,17720,5310,62,1023,984,900
42500,225,1780695788,4000,17160,62,1023,991,3597
42500,435,356426808,-9810,6180,62,1023,993,2700
42600,575,709393584,-15270,6180,62,1023,1212,2700
42700,365,945117276,13040,5310,62,1023,991,900
42900,295,1889947178,18160,5310,62,1023,993,900
43000,225,1780695788,4000,17610,62,1023,993,3597
43000,435,491705403,-10250,6180,62,1023,989,2700
43000,575,709393584,-15710,6180,62,1023,1213,2700
43200,365,945117276,13480,5310,62,1023,985,900
43400,575,709393584,-16150,6180,62,1023,1224,2700
43500,225,1780695788,3990,18050,62,1023,978,3597
43500,435,491705403,-10690,6180,62,1023,991,2700
43700,365,1918502651,13920,5310,62,1023,977,900
43800,575,709393584,-16590,6180,62,1023,1228,2700
44000,435,491705403,-11130,6180,62,1023,990,2700
44200,365,1918502651,14370,5310,62,1023,981,900
44500,435,491705403,-11570,6180,62,1023,994,2700
44700,365,1918502651,14810,5310,62,1023,975,900
45000,435,491705403,-12020,6180,62,1023,996,2700
45200,365,1918502651,15250,5310,62,1023,976,900
45500,435,491705403,-12460,6180,62,1023,975,2700
45700,365,1918502651,15700,5310,62,1023,979,900
46000,435,491705403,-12900,6180,62,1023,995,2700
46200,365,1918502651,16140,5310,62,1023,990,900
46500,435,752392754,-13350,6180,62,1023,994,2700
46700,365,1474612399,16580,5310,62,1023,997,900
47000,435,752392754,-13790,6180,62,1023,985,2700
47200,365,1474612399,17020,5310,62,1023,984,900
47500,435,752392754,-14230,6180,62,1023,974,2700
47700,365,1474612399,17460,5310,62,1023,987,900
48000,435,752392754,-14670,6180,62,1023,976,2700
48200,365,1474612399,17910,5310,62,1023,987,900
48500,435,752392754,-15110,6180,62,1023,985,2700
48700,365,1474612399,18350,5310,62,1023,978,900
49000,435,752392754,-15550,6180,62,1023,986,2700
49500,435,2053999932,-15990,6180,62,1023,981,2700
